答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
15,E_307_5b63abcac1a87d174c3b0b7d_4YDNxETM,12-18 岁,女,大专,10000-15000 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通工人,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 201 至 500 元,代言品牌|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:19:40,2022-02-04 16:22:27,02分47秒,天津市,天津市,117.10.160.113,Chrome 80.0.3987.99,Android Linux 9
16,E_307_60b4d7a31b242588e7be0b4a_4YDNxETM,12-18 岁,男,高中,暂无收入,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,初音未来|洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托|审美需要,花过，200至 500 元,不愿付费,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:19:59,2022-02-04 16:22:28,02分29秒,四川省,成都市,119.4.108.252,Chrome 92.0.4515.131,Android Linux 11
17,E_307_605bbf881b242597d3cf91ae_4YDNxETM,30-45 岁,男,博士研究生及以上,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托|审美需要,花过，200 元以下,不愿付费,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的外型设计,不愿付费（跳转 14 题）,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:19:58,2022-02-04 16:22:41,02分43秒,,,223.104.114.44,Chrome 86.0.4240.99,Android Linux 11
18,E_307_61fbfcff1b2425ff3faacc9c_4YDNxETM,19-29 岁,女,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,娱乐消费，能够带来快乐|审美需要,花过，501 元到 1000 元,每月 50 到 200 元,漫画等周边|线上/线下 演唱会|游戏,漫画等周边|线上/线下 演唱会,虚拟偶像种类:40.0|相关产品的丰富度:45.0|付费价格:15.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:20:13,2022-02-04 16:22:49,02分36秒,福建省,福州市,110.80.163.163,Unknown Browser,iPhone iOS 15.1
19,E_307_60f7d31433f0c428458e82b6_4YDNxETM,19-29 岁,男,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙,娱乐消费，能够带来快乐|精神寄托,花过，200至 500 元,每月 201 至 500 元,代言品牌|线上/线下 演唱会,直播打赏|代言品牌|漫画等周边,虚拟偶像种类:41.0|相关产品的丰富度:20.0|付费价格:39.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,没有,视具体情况而定，愿意同时接受两种偶像方式,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 16:20:06,2022-02-04 16:22:53,02分47秒,安徽省,合肥市,36.5.175.76,Chrome 87.0.4280.101,Android Linux 10
20,E_307_61123c5133f0c45b88ab387a_4YDNxETM,19-29 岁,女,本科,2000 元以下,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边|线上/线下 演唱会|游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:20:26,2022-02-04 16:22:55,02分29秒,河南省,南阳市,125.45.110.242,Chrome 88.0.4324.93,Android Linux 10
21,E_307_61fbb57d1b2425ff3faa80f6_4YDNxETM,30-45 岁,女,高中,2000-4999 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,洛天依,娱乐消费，能够带来快乐,花过，200 元以下,每月 50 元以下,漫画等周边,漫画等周边,虚拟偶像种类:40.0|相关产品的丰富度:22.0|付费价格:20.0|其他:18.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:17:59,2022-02-04 16:22:58,04分59秒,河北省,张家口市,223.104.102.99,Chrome 62.0.3202.84,Android Linux 8.1.0
22,E_307_55ebb360c1a87d621781ccd1_4YDNxETM,30-45 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,不愿付费（跳转 14 题）,直播打赏|代言品牌,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:20:32,2022-02-04 16:23:00,02分28秒,上海市,上海市,101.82.122.89,Unknown Browser,iPhone iOS 15.3
23,E_307_61efe6e433f0c4d24313e67d_4YDNxETM,19-29 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 16:20:43,2022-02-04 16:23:12,02分29秒,上海市,上海市,183.195.71.162,Chrome 88.0.4324.93,Android Linux 10
24,E_307_61fcd6ec33f0c4d2431e5056_4YDNxETM,19-29 岁,女,高中,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通工人,洛天依,审美需要,花过，200 元以下,每月 50 元以下,漫画等周边,漫画等周边,虚拟偶像种类:84.0|相关产品的丰富度:16.0|付费价格:0.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:20:54,2022-02-04 16:23:24,02分30秒,江苏省,苏州市,223.104.146.1,Chrome 88.0.4324.93,Android Linux 10
25,E_307_5f125936c461310b288b5d13_4YDNxETM,30-45 岁,男,本科,2000-4999 元,华中地区(包括湖北、湖南、河南),企业管理人员,洛天依|柳叶熙,精神寄托|审美需要,花过，200至 500 元,每月 50 到 200 元,漫画等周边|线上/线下 演唱会,直播打赏|线上/线下 演唱会,虚拟偶像种类:61.0|相关产品的丰富度:39.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:20:30,2022-02-04 16:23:36,03分06秒,黑龙江省,齐齐哈尔市,122.157.204.188,Chrome 83.0.4103.106,Android Linux 11
26,E_307_6139815f1b2425ef920c2ce8_4YDNxETM,19-29 岁,女,大专,5000-9999 元,华中地区(包括湖北、湖南、河南),学生,A-SOUL（嘉然今天吃什么）,精神寄托,花过，501 元到 1000 元,每月 201 至 500 元,线上/线下 演唱会,漫画等周边,虚拟偶像种类:77.0|相关产品的丰富度:23.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:21:08,2022-02-04 16:23:37,02分29秒,湖北省,武汉市,183.94.48.48,Unknown Browser,iPhone iOS 15.2.1
27,E_307_5fd39cc233f0c48e4e01127f_4YDNxETM,30-45 岁,女,本科,15001-20000 元,西南地区（包括重庆、程度、云南、贵州、西藏）,企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 到 200 元,直播打赏|代言品牌|漫画等周边,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:19.0|相关产品的丰富度:18.0|付费价格:25.0|其他:38.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:21:10,2022-02-04 16:23:38,02分28秒,四川省,眉山市,101.205.189.146,Unknown Browser,iPhone iOS 15.0.2
28,E_307_60cf53231b24259bde7f73f0_4YDNxETM,19-29 岁,女,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,不愿付费（跳转 14 题）,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:20:51,2022-02-04 16:23:39,02分48秒,江苏省,连云港市,112.3.138.50,Chrome 88.0.4324.93,Android Linux 10
29,E_307_61f401b733f0c4d24317ffb0_4YDNxETM,19-29 岁,女,本科,暂无收入,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,不愿付费（跳转 14 题）,游戏,不太清楚,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:21:06,2022-02-04 16:23:39,02分33秒,四川省,成都市,117.136.15.201,Chrome 88.0.4324.93,Android Linux 10
30,E_307_61ced1dd33f0c47da3af878f_4YDNxETM,19-29 岁,女,本科,10000-15000 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),普通职员,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，501 元到 1000 元,每月 201 至 500 元,直播打赏|代言品牌|漫画等周边,直播打赏|代言品牌|漫画等周边,虚拟偶像种类:18.0|相关产品的丰富度:34.0|付费价格:16.0|其他:32.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:21:17,2022-02-04 16:23:45,02分28秒,重庆市,重庆市,125.86.110.80,Unknown Browser,iPhone iOS 15.0.2
31,E_307_600b90731b2425ff4d6e9b85_4YDNxETM,19-29 岁,女,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,初音未来|洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托|审美需要,从未,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,漫画等周边|游戏,推广意义不大，日常流量明星就已经能够满足需要,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:21:03,2022-02-04 16:23:47,02分44秒,广东省,广州市,103.27.25.166,Chrome 71.0.3578.99,Android Linux 8.1.0
32,E_307_61fc075d33f0c4d24216ac81_4YDNxETM,19-29 岁,女,大专,10000-15000 元,华北地区(包括北京、天津、河北、山西、内蒙古),企业管理人员,初音未来|洛天依|柳叶熙,不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 元以下,直播打赏|代言品牌,代言品牌|线上/线下 演唱会,虚拟偶像种类:28.0|相关产品的丰富度:17.0|付费价格:30.0|其他:25.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:21:26,2022-02-04 16:23:57,02分31秒,广东省,汕头市,183.46.196.14,Chrome 86.0.4240.99,Android Linux 11
33,E_307_6132dd611b2425ef9406f031_4YDNxETM,12-18 岁,女,高中,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|审美需要,花过，501 元到 1000 元,每月 50 到 200 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,代言品牌|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:30.0|相关产品的丰富度:20.0|付费价格:26.0|其他:24.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:21:14,2022-02-04 16:23:58,02分44秒,江苏省,徐州市,49.68.148.217,Unknown Browser,iPhone iOS 15.2.1
34,E_307_61d52e3d33f0c414fdfab3e6_4YDNxETM,19-29 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,代言品牌,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:20:41,2022-02-04 16:23:58,03分17秒,四川省,内江市,171.94.59.8,Chrome 68.0.3440.91,Android Linux 9
