答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
24,E_307_601d30b01b24258f28779e1d_yMDNxETM,19-29 岁,女,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 元以下,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:34:52,2022-02-04 11:37:21,02分29秒,,,223.104.113.31,Chrome 90.0.4430.210,Android Linux 11
25,E_307_61f702e91b2425ff3c99d616_yMDNxETM,19-29 岁,女,本科,10000-15000 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐|精神寄托,花过，501 元到 1000 元,每月 50 到 200 元,直播打赏|代言品牌|线上/线下 演唱会,漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:44.0|相关产品的丰富度:28.0|付费价格:28.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:34:54,2022-02-04 11:37:23,02分29秒,,,223.104.113.178,Chrome 88.0.4324.93,Android Linux 10
26,E_307_600197581b2425de8f183ac0_yMDNxETM,30-45 岁,女,硕士研究生,15001-20000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:34:50,2022-02-04 11:37:26,02分36秒,黑龙江省,大庆市,117.179.208.111,Chrome 71.0.3578.99,Android Linux 8.0.0
27,E_307_61babce01b2425b1f74d762e_yMDNxETM,19-29 岁,女,本科,2000-4999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,直播打赏,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:35:01,2022-02-04 11:37:33,02分32秒,云南省,昆明市,180.130.10.103,Chrome 83.0.4103.106,Android Linux 11
28,E_307_61fc9dd333f0c4d2431e19ed_yMDNxETM,19-29 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通工人,洛天依|aespa,不会塌房，追星更加稳定|精神寄托|审美需要,花过，200至 500 元,每月 201 至 500 元,代言品牌|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:40.0|相关产品的丰富度:39.0|付费价格:13.0|其他:8.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:34:55,2022-02-04 11:37:53,02分58秒,浙江省,温州市,111.1.201.78,Chrome 88.0.4324.93,Android Linux 10
29,E_307_61eb9db833f0c4d2430fdb16_yMDNxETM,19-29 岁,女,高中,2000 元以下,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,初音未来|洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托|审美需要,花过，200 元以下,每月 50 到 200 元,直播打赏|代言品牌|漫画等周边,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:73.0|相关产品的丰富度:27.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:35:21,2022-02-04 11:37:54,02分33秒,云南省,昆明市,117.136.85.50,Chrome 83.0.4103.106,Android Linux 10
30,E_307_61fbbce51b2425ff3da08bdf_yMDNxETM,19-29 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边|游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 11:35:17,2022-02-04 11:37:55,02分38秒,四川省,绵阳市,182.137.187.51,Chrome 71.0.3578.99,Android Linux 8.1.0
31,E_307_6003d15433f0c4814c9b1314_yMDNxETM,19-29 岁,女,本科,暂无收入,华北地区(包括北京、天津、河北、山西、内蒙古),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,不愿付费（跳转 14 题）,代言品牌,不太清楚,已经成为一种潮流,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 11:34:49,2022-02-04 11:38:07,03分18秒,北京市,北京市,123.117.180.234,Chrome 88.0.4324.93,Android Linux 10
32,E_307_600679231b2425ff4e64f1b4_yMDNxETM,30-45 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:35:54,2022-02-04 11:38:26,02分32秒,黑龙江省,哈尔滨市,223.104.17.198,Chrome 74.0.3729.136,Android Linux 9
33,E_307_613f482e33f0c40da8516bbc_yMDNxETM,19-29 岁,男,博士研究生及以上,15001-20000 元,华中地区(包括湖北、湖南、河南),个体经营者/承包商,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 501 到 1000 元,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:35:58,2022-02-04 11:38:29,02分31秒,湖北省,荆门市,183.95.248.8,Chrome 74.0.3729.136,Android Linux 9
34,E_307_61fb947d1b2425ff3ea87daa_yMDNxETM,19-29 岁,男,大专,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),企业管理人员,A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,精神寄托|审美需要,花过，200至 500 元,每月 50 到 200 元,直播打赏|代言品牌,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:59.0|相关产品的丰富度:22.0|付费价格:19.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 11:35:32,2022-02-04 11:38:43,03分11秒,四川省,成都市,117.136.62.49,Chrome 55.0.2883.91,Android Linux 7.1.2
35,E_307_5b60537ac1a87d17b4d083d7_yMDNxETM,19-29 岁,男,本科,2000-4999 元,华北地区(包括北京、天津、河北、山西、内蒙古),学生,初音未来|洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,从未,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的外型设计,不愿付费（跳转 14 题）,代言品牌|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:35:16,2022-02-04 11:38:47,03分31秒,广东省,广州市,59.42.30.69,Chrome 86.0.4240.198,Windows 7
