答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
15,,19-29 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 16:24:59,2022-01-30 16:30:53,05分54秒,浙江省,杭州市,124.160.215.193,Chrome 86.0.4240.99,Android Linux 11
16,,19-29 岁,男,本科,2000 元以下,华北地区(包括北京、天津、河北、山西、内蒙古),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:31:10,2022-01-30 16:31:47,00分37秒,,,39.144.65.64,Chrome 89.0.4389.72,Android Linux 10
17,,19-29 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:31:17,2022-01-30 16:31:49,00分32秒,浙江省,舟山市,183.152.39.99,Chrome 89.0.4389.72,Android Linux 10
18,,19-29 岁,男,高中,暂无收入,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:31:49,2022-01-30 16:32:18,00分29秒,湖南省,湘潭市,175.1.10.82,Unknown Browser,iPhone iOS 14.4
19,,19-29 岁,女,本科,2000 元以下,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:32:01,2022-01-30 16:32:51,00分50秒,河南省,郑州市,120.219.59.132,Chrome 89.0.4389.72,Android Linux 9
20,,19-29 岁,男,本科,暂无收入,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,每月 50 元以下,代言品牌|漫画等周边|游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 16:32:07,2022-01-30 16:33:25,01分18秒,四川省,成都市,117.136.62.125,Chrome 86.0.4240.99,Android Linux 11
21,,19-29 岁,男,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:32:35,2022-01-30 16:33:29,00分54秒,广西壮族自治区,,117.183.242.22,Chrome 89.0.4389.72,Android Linux 10
22,,19-29 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来,娱乐消费，能够带来快乐,花过，200 元以下,每月 50 到 200 元,游戏,游戏,虚拟偶像种类:7.0|相关产品的丰富度:79.0|付费价格:14.0|其他:0.0,,,,,,不太清楚,不太清楚,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 16:31:56,2022-01-30 16:33:37,01分41秒,浙江省,温州市,60.180.137.77,Unknown Browser,iPhone iOS 15.2.1
23,,12-18 岁,男,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:33:31,2022-01-30 16:34:04,00分33秒,陕西省,西安市,61.185.160.131,Chrome 86.0.4240.99,Android Linux 10
24,,19-29 岁,男,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:34:39,2022-01-30 16:35:27,00分48秒,四川省,达州市,117.139.67.107,Chrome 89.0.4389.72,Android Linux 10
25,,19-29 岁,女,本科,暂无收入,华北地区(包括北京、天津、河北、山西、内蒙古),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:34:41,2022-01-30 16:35:32,00分51秒,山西省,临汾市,120.208.154.85,Chrome 86.0.4240.99,Android Linux 10
26,,19-29 岁,女,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:35:39,2022-01-30 16:37:39,02分00秒,浙江省,杭州市,113.214.214.114,Chrome 86.0.4240.99,Android Linux 10
27,,19-29 岁,女,本科,2000 元以下,东北地区（包括黑龙江、吉林、辽宁）,学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:38:01,2022-01-30 16:38:34,00分33秒,黑龙江省,大庆市,111.41.225.156,Unknown Browser,iPhone iOS 14.6
28,,19-29 岁,女,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:37:57,2022-01-30 16:38:38,00分41秒,山西省,,223.104.204.103,Unknown Browser,iPhone iOS 15.0.1
29,,19-29 岁,女,本科,暂无收入,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:39:13,2022-01-30 16:39:50,00分37秒,广西壮族自治区,北海市,180.141.100.15,Chrome 89.0.4389.72,Android Linux 10
30,,19-29 岁,女,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:40:13,2022-01-30 16:40:48,00分35秒,广西壮族自治区,南宁市,220.200.126.11,Chrome 89.0.4389.72,Android Linux 11
31,,19-29 岁,女,本科,2000 元以下,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:40:30,2022-01-30 16:41:10,00分40秒,广东省,深圳市,120.229.90.148,Chrome 86.0.4240.99,Android Linux 10
32,,19-29 岁,男,本科,2000-4999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,aespa,娱乐消费，能够带来快乐,花过，200 元以下,每月 50 到 200 元,直播打赏,直播打赏,虚拟偶像种类:63.0|相关产品的丰富度:5.0|付费价格:21.0|其他:11.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 16:38:56,2022-01-30 16:43:26,04分30秒,四川省,成都市,223.104.9.226,Chrome 86.0.4240.99,Android Linux 10
33,,12-18 岁,女,高中,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:45:04,2022-01-30 16:45:48,00分44秒,广东省,湛江市,117.136.33.171,Unknown Browser,iPhone iOS 12.5.5
34,,19-29 岁,男,本科,暂无收入,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:45:54,2022-01-30 16:47:02,01分08秒,浙江省,舟山市,183.152.223.86,Unknown Browser,iPhone iOS 15.1
35,,19-29 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来,娱乐消费，能够带来快乐|精神寄托|审美需要|其他:给老婆花钱很正常,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边,漫画等周边,虚拟偶像种类:50.0|相关产品的丰富度:0.0|付费价格:50.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 16:47:09,2022-01-30 16:50:00,02分51秒,安徽省,安庆市,114.102.216.70,Chrome 89.0.4389.72,Android Linux 10
36,,19-29 岁,男,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:51:16,2022-01-30 16:52:00,00分44秒,山东省,德州市,223.98.46.202,Chrome 86.0.4240.99,Android Linux 10
37,,19-29 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托|审美需要,花过，1000 元以上,每月 201 至 500 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:100.0|相关产品的丰富度:0.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 16:52:59,2022-01-30 16:54:34,01分35秒,江西省,,61.242.135.228,Chrome 89.0.4389.72,Android Linux 12
38,,19-29 岁,女,本科,暂无收入,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,初音未来,娱乐消费，能够带来快乐|精神寄托|审美需要,花过，501 元到 1000 元,每月 501 到 1000 元,代言品牌|漫画等周边|线上/线下 演唱会|游戏,代言品牌|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:13.0|相关产品的丰富度:57.0|付费价格:17.0|其他:13.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 16:55:53,2022-01-30 16:57:22,01分29秒,云南省,曲靖市,112.113.58.9,Unknown Browser,iPhone iOS 15.3
39,,19-29 岁,女,本科,2000-4999 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 16:59:42,2022-01-30 17:00:23,00分41秒,陕西省,西安市,36.45.252.41,Chrome 86.0.4240.99,Android Linux 11
40,,19-29 岁,男,本科,暂无收入,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,漫画等周边|游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 16:55:49,2022-01-30 17:02:11,06分22秒,广西壮族自治区,桂林市,117.140.171.78,Chrome 89.0.4389.72,Android Linux 10
41,,19-29 岁,女,本科,2000 元以下,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:06:32,2022-01-30 17:07:05,00分33秒,重庆市,重庆市,14.108.200.58,Chrome 89.0.4389.72,Android Linux 10
42,,19-29 岁,女,本科,暂无收入,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:07:24,2022-01-30 17:07:56,00分32秒,重庆市,重庆市,183.229.241.197,Chrome 89.0.4389.72,Android Linux 10
43,,12-18 岁,男,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:07:51,2022-01-30 17:08:41,00分50秒,江西省,南昌市,182.102.130.148,Chrome 86.0.4240.99,Android Linux 11
44,,12-18 岁,女,本科,暂无收入,华北地区(包括北京、天津、河北、山西、内蒙古),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:10:39,2022-01-30 17:11:33,00分54秒,河北省,沧州市,183.199.135.185,Chrome 86.0.4240.99,Android Linux 11
45,,19-29 岁,男,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:16:38,2022-01-30 17:17:12,00分34秒,陕西省,榆林市,113.137.166.73,Chrome 86.0.4240.99,Android Linux 8.1.0
46,,19-29 岁,男,高中,暂无收入,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:18:32,2022-01-30 17:19:25,00分53秒,重庆市,重庆市,223.104.251.49,Chrome 89.0.4389.72,Android Linux 11
47,,19-29 岁,女,本科,暂无收入,东北地区（包括黑龙江、吉林、辽宁）,学生,初音未来,精神寄托|审美需要,从未,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的外型设计,每月 50 元以下,漫画等周边|游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 17:16:38,2022-01-30 17:21:07,04分29秒,黑龙江省,哈尔滨市,117.179.225.110,Chrome 89.0.4389.72,Android Linux 10
48,,19-29 岁,女,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:20:53,2022-01-30 17:21:22,00分29秒,陕西省,西安市,1.80.138.188,Chrome 86.0.4240.99,Android Linux 10
49,,12-18 岁,女,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的外型设计,每月 50 到 200 元,漫画等周边|线上/线下 演唱会,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 17:19:05,2022-01-30 17:21:23,02分18秒,陕西省,西安市,113.132.23.128,Unknown Browser,iPhone iOS 15.1.1
50,,19-29 岁,女,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:14:13,2022-01-30 17:21:44,05分05秒,新疆维吾尔自治区,巴音郭楞蒙古自治州,110.153.81.154,Chrome 86.0.4240.99,Android Linux 10
51,,19-29 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:20:39,2022-01-30 17:22:52,02分13秒,山东省,泰安市,27.201.53.71,Chrome 89.0.4389.72,Android Linux 10
52,,19-29 岁,女,本科,暂无收入,东北地区（包括黑龙江、吉林、辽宁）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:22:02,2022-01-30 17:23:11,01分09秒,辽宁省,沈阳市,175.167.156.58,Unknown Browser,iPhone iOS 14.7.1
53,,19-29 岁,女,大专,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:24:06,2022-01-30 17:24:55,00分49秒,广东省,深圳市,117.136.79.158,Unknown Browser,iPhone iOS 15.0
54,,19-29 岁,女,本科,暂无收入,东北地区（包括黑龙江、吉林、辽宁）,学生,初音未来,娱乐消费，能够带来快乐,花过，200 元以下,每月 1000 元以上,漫画等周边,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:24.0|相关产品的丰富度:76.0|付费价格:0.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-01-30 17:22:37,2022-01-30 17:25:01,02分24秒,辽宁省,沈阳市,101.246.166.56,Chrome 86.0.4240.99,Android Linux 10
55,,19-29 岁,女,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:25:09,2022-01-30 17:26:04,00分55秒,广西壮族自治区,南宁市,220.200.126.213,Chrome 86.0.4240.99,Android Linux 10
